"id","dominio","prefixo","metodo","rota","operacao","handler","protecao","linha_app_go"
"1","Saúde da aplicação","health","GET","/healthz","Health","healthHandler.Health","Saúde pública","301"
"2","Saúde da aplicação","health","GET","/readyz","Ready","healthHandler.Ready","Saúde pública","302"
"3","WhatsApp interno","internal-whatsapp","POST","/v1/internal/whatsapp/auto-reply","AutoReply","whatsappHandler.AutoReply","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","303"
"4","Conta e organização atual","me","GET","/v1/me","Show","meHandler.Show","Usuário autenticado","304"
"5","Conta e organização atual","me","GET","/v1/me/profile","ShowProfile","meHandler.ShowProfile","Usuário autenticado","305"
"6","Conta e organização atual","me","POST","/v1/me/switch-organization","SwitchOrganization","meHandler.SwitchOrganization","Usuário autenticado","306"
"7","Eventos em tempo real","realtime","GET","/v1/realtime/events","Events","realtimeHandler.Events","Organização ativa","307"
"8","Telemetria","telemetry","POST","/v1/telemetry/errors","CreateErrorEvent","telemetryHandler.CreateErrorEvent","Usuário autenticado","308"
"9","Auditoria","audit-logs","GET","/v1/audit-logs","List","auditHandler.List","Usuário autenticado","309"
"10","Auditoria","audit-logs","POST","/v1/audit-logs","Create","auditHandler.Create","Usuário autenticado","310"
"11","Analytics","analytics","GET","/v1/analytics/meta-insights","MetaInsights","analyticsHandler.MetaInsights","Organização + permissão DashboardCampaignsView","311"
"12","Analytics","analytics","GET","/v1/analytics/campaign-insights","CampaignInsights","analyticsHandler.CampaignInsights","Organização + permissão DashboardCampaignsView","312"
"13","Analytics","analytics","GET","/v1/analytics/lead","LeadAnalytics","analyticsHandler.LeadAnalytics","Módulo site + permissão DashboardSiteView","313"
"14","Analytics","analytics","GET","/v1/analytics/site-summary","SiteSummary","analyticsHandler.SiteSummary","Módulo site + permissão DashboardSiteView","314"
"15","Analytics","analytics","GET","/v1/analytics/site-detailed","SiteDetailed","analyticsHandler.SiteDetailed","Módulo site + permissão DashboardSiteView","315"
"16","Analytics","analytics","GET","/v1/analytics/enterprise-kpis","EnterpriseKPIs","analyticsHandler.EnterpriseKPIs","Organização + permissão DashboardView","316"
"17","Analytics","analytics","GET","/v1/analytics/dre-executive","DREExecutive","analyticsHandler.DREExecutive","Organização + permissão FinancialView","317"
"18","Analytics","analytics","GET","/v1/analytics/sla-summary","SlaSummary","analyticsHandler.SlaSummary","Organização + permissão DashboardView","318"
"19","Analytics","analytics","GET","/v1/analytics/sla-performance-by-user","SlaPerformanceByUser","analyticsHandler.SlaPerformanceByUser","Organização + permissão DashboardView","319"
"20","Analytics","analytics","GET","/v1/analytics/team-ranking","TeamRanking","analyticsHandler.TeamRanking","Organização + permissão DashboardView","320"
"21","Analytics","analytics","GET","/v1/analytics/vgv-stats","VGVStats","analyticsHandler.VGVStats","Organização + permissão DashboardView","321"
"22","Analytics","analytics","GET","/v1/analytics/vgv-by-broker","VGVByBroker","analyticsHandler.VGVByBroker","Organização + permissão DashboardView","322"
"23","Analytics","analytics","GET","/v1/analytics/stage-vgv","StageVGV","analyticsHandler.StageVGV","Organização + permissão DashboardView","323"
"24","Analytics","analytics","GET","/v1/analytics/leader-stats","LeaderStats","analyticsHandler.LeaderStats","Organização + permissão DashboardView","324"
"25","Analytics","analytics","GET","/v1/analytics/team-leader-stats/{teamId}","TeamLeaderStats","analyticsHandler.TeamLeaderStats","Organização + permissão DashboardView","325"
"26","Central de atenção","attention","GET","/v1/attention/settings","GetSettings","attentionHandler.GetSettings","Organização + permissão AttentionView","326"
"27","Central de atenção","attention","PATCH","/v1/attention/settings","UpdateSettings","attentionHandler.UpdateSettings","Organização + permissão AttentionView","327"
